smiles,D,SA
COCN1CCN(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C2C1N(N)CCN2n1ccnc1,6.339342,5.100274682194409
CCC(CNN1CNN=C([N+](=O)[O-])N=C2N(C1)CN2C12C=CC=CC1=NN=N2)([N+](=O)[O-])[N+](=O)[O-],6.480144,5.912454602682787
O=C1NC2NC([N+](=O)[O-])=NC=C3N(CN3C34C=CC=CC3=NN=N4)C2N1n1nnc2c([N+](=O)[O-])cc([N+](=O)[O-])cc21,6.5102024,5.722841082280019
NC1=C([N+](=O)[O-])CN2CN3CN(CO)C3=CC=C([N+](=O)[O-])C([N+](=O)[O-])=CC2=C([N+](=O)[O-])C(O)=C1[N+](=O)[O-],6.5162253,4.932206137988034
NCCC(CCC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1cc([N+](=O)[O-])cn1,6.7844276,4.312434315273207
CCOCC(=O)C(CC(C)([N+](=O)[O-])[N+](=O)[O-])C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.939043,4.382154791406197
CC(CCc1nc(-n2ccnn2)c2c(c1[N+](=O)[O-])N=C([N+](=O)[O-])N=CN2)([N+](=O)[O-])[N+](=O)[O-],6.7862377,4.318050867064373
CN(CCN(CCC12N=NN=C1C=C([N+](=O)[O-])C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.6988964,4.933049077120484
NC(=O)Cc1nc(O)c2c(c1[N+](=O)[O-])N=C([N+](=O)[O-])C([N+](=O)[O-])=C(N)C([N+](=O)[O-])=C2[N+](=O)[O-],7.1194468,4.0797002309184816
CN(N1CCN(n2nccn2)C2C1N(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN2CC(C)(C)[N+](=O)[O-])[N+](=O)[O-],6.6079636,5.51806131212608
CC(C)NC(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)Oc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],6.3481727,4.1068966848491275
CC(Nc1nc(CCO)c([N+](=O)[O-])cc1[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.128611,4.107639461735867
CC(CN1CN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C2NC(=O)N(c3nc(N)n[nH]3)C21)([N+](=O)[O-])[N+](=O)[O-],6.5576344,4.6413594177428665
CON1C(=O)NC2N=CC=NN3N(CN3n3ncnc3[N+](=O)[O-])C21,6.651032,5.479249337674256
CC(CNN1CN(N)C2NC(=O)N(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C21)([N+](=O)[O-])[N+](=O)[O-],7.370893,5.288511619911571
O=[N+]([O-])C1([N+](=O)[O-])CN2C=NN=NCN2CN2CN(F)N2CC([N+](=O)[O-])([N+](=O)[O-])C1,8.050377,5.579423257503703
O=[N+]([O-])C(COc1nc(CCO)nc(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1)([N+](=O)[O-])[N+](=O)[O-],8.389846,4.141053494017809
CC(NN1CN(NC(C)(C)C)CN(C23C=C([N+](=O)[O-])C([N+](=O)[O-])=CC2=NN=N3)C1)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.60122,5.697433840419294
CC(CNc1n[nH]nnnc2c(n1)N=C2Oc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.760844,4.512218265155031
O=[N+]([O-])c1nnnn1CCOn1ccnc1,6.951263,3.544266869997162
O=[N+]([O-])c1cnn(CCC(CCn2nnnc2[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,7.302718,3.6524943496146287
CN(CCCC(CCNc1cnon1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.6240244,4.067445976447779
O=[N+]([O-])c1cc([N+](=O)[O-])c2nnn(CCC(CCO)([N+](=O)[O-])[N+](=O)[O-])c2c1,6.794928,3.4131644233764824
O=[N+]([O-])NCc1c([N+](=O)[O-])[nH]nc([N+](=O)[O-])nc2c(c1[N+](=O)[O-])C([N+](=O)[O-])=C2F,8.242826,4.575175482319127
CCN(OC12N=NN=C1C=C([N+](=O)[O-])C=C2[N+](=O)[O-])[N+](=O)[O-],6.941485,5.0327080447945125
O=[N+]([O-])C1=CC2(CC(COc3c[nH]nn3)([N+](=O)[O-])[N+](=O)[O-])N=NN=C2C([N+](=O)[O-])=C1,7.008077,5.089732638366742
CCOCN1CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C2C1C1C2N(C(N)=O)CN1c1c[nH]nn1,6.2806954,5.551567847806387
CC(=O)N1CCN(CC(C)(C)N)C2C1N(c1c([N+](=O)[O-])nn(C)c1[N+](=O)[O-])CCN2[N+](=O)[O-],5.948435,4.725119281376008
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N2C(=O)NC3C2N(CCN[N+](=O)[O-])CN3N)c1[N+](=O)[O-],6.794331,4.6912063756276865
O=C(CCCO[N+](=O)[O-])CCC(CCC(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.2547927,3.3618303231922466
CC(C)(CON1CCN(c2nc([N+](=O)[O-])c([N+](=O)[O-])[nH]2)C2C1C=NN=CN1N2CCN1n1nccn1)[N+](=O)[O-],6.365286,5.677107693972886
NC1=NON=c2c(CCO)nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc2=N1,7.278346,4.5609368848563205
CC(CC(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)O)([N+](=O)[O-])[N+](=O)[O-],7.416655,4.222647116596036
CC(=O)C(CCn1cc([N+](=O)[O-])cn1)(CCn1nnc2ccccc21)c1c[nH]nn1,5.4548187,3.8287440088453852
CC(CCC(=O)C(N)C(=O)C12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NN=N2)([N+](=O)[O-])[N+](=O)[O-],6.715081,5.117380996462101
CC(N)CC1=C([N+](=O)[O-])C(CCC(C)([N+](=O)[O-])[N+](=O)[O-])=C([N+](=O)[O-])C2=C([N+](=O)[O-])N=C([N+](=O)[O-])N=CN12,6.725461,4.984111554000594
CCC(CCC(=O)C(C(=O)CC(C)N)c1c([N+](=O)[O-])c([N+](=O)[O-])c(N)c([N+](=O)[O-])c1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.7688327,4.697223765057764
O=[N+]([O-])C(F)(COCN1CCN(n2nnc3ccccc32)C2C1C=NC=CN1N2CCN1n1ccnn1)[N+](=O)[O-],6.019017,5.316852835258047
