smiles,D,SA
O=C(CCC(CCC(=O)C12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NC=N2)([N+](=O)[O-])[N+](=O)[O-])c1c[nH]nn1,6.4034843,5.014160615490062
O=[N+]([O-])C(CNC(O)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1ccnn1)([N+](=O)[O-])[N+](=O)[O-],8.522665,4.8505492745217555
CN(N1CN2C(=NON=C1N)C1C2C2C1N(n1cc([N+](=O)[O-])cn1)CN2CC#N)[N+](=O)[O-],6.4334693,5.8627703395837525
CC1=C([N+](=O)[O-])N2N=NC([N+](=O)[O-])=NCN2CN2CN(C34C=C([N+](=O)[O-])C([N+](=O)[O-])=CC3=NN=N4)C2=CC=C1[N+](=O)[O-],6.7060738,6.050307606332348
CC(N)CC1=Nc2nc(CCO[N+](=O)[O-])nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3nnn21,6.2443023,4.401601067160572
COCc1c([N+](=O)[O-])cnccn2c(c1[N+](=O)[O-])C([N+](=O)[O-])=C2C1NCNC(=N[N+](=O)[O-])N1,6.5278807,5.0220794949291445
O=c1c2cc([N+](=O)[O-])cc([N+](=O)[O-])cc([N+](=O)[O-])cc([N+](=O)[O-])c1N=C2n1nccn1,6.6069417,4.387579061276453
COC(F)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-],7.346591,4.160100632773224
CC(NN1CN(c2c[nH]nn2)C2C3C(C21)N(CN[N+](=O)[O-])CN3O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.988832,6.1897585762318075
O=[N+]([O-])c1ncnn1OCCOC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.423761,4.1299451078498866
CN(N1C(=O)NC2C1N(CC(C)([N+](=O)[O-])[N+](=O)[O-])CN2n1ccnn1)[N+](=O)[O-],6.773057,5.235169281966812
CC(C)(CON1C(=O)NC2N=NC([N+](=O)[O-])=CN3N(CN3C34C=C([N+](=O)[O-])C([N+](=O)[O-])=CC3=NN=N4)C21)[N+](=O)[O-],6.6218348,6.1316887343770095
CCC(CNc1nc(F)nc(CC(N)=O)n1)([N+](=O)[O-])[N+](=O)[O-],6.5827007,3.5461602272132824
O=C1c2nnccn3c(nn3n2)C(=O)c2nn(-n3cc([N+](=O)[O-])cn3)nc21,6.6974335,6.335705641200112
CCN(N1CN=NNC=C2N(CN(CC(N)=O)CN2Nc2cnon2)C1)[N+](=O)[O-],6.0502543,5.294073433341148
O=[N+]([O-])c1cc([N+](=O)[O-])c(OCF)c([N+](=O)[O-])c1,7.8576264,2.6594435765647457
O=[N+]([O-])CCC(F)(CO)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.067755,4.536246255937885
CN(CCN1CN(O)C2NC(=O)N(c3c[nH]nn3)C21)[N+](=O)[O-],6.2707996,5.072704363091157
CC(C)(N)CN1CN2C3C(C=C([N+](=O)[O-])N=CN12)NC(=O)N3C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.8936777,5.544953259919865
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C(c1cnc([N+](=O)[O-])[nH]1)c1[nH]c([N+](=O)[O-])nc1[N+](=O)[O-],6.7910314,4.324421693860733
CC(=O)C1=C([N+](=O)[O-])C2=Nc3c(cc([N+](=O)[O-])cc3[N+](=O)[O-])N=NN2C(n2cc([N+](=O)[O-])cn2)=N1,6.640237,4.020642969671918
NC(=O)COC#COC1NCC([N+](=O)[O-])([N+](=O)[O-])CC1([N+](=O)[O-])[N+](=O)[O-],7.0787916,5.071561293414694
O=[N+]([O-])C1=NON=C2N(Nc3cnon3)CCN2C2C1N(c1[nH]cnc1[N+](=O)[O-])CCN2F,6.728715,5.50404838008361
CC(N)CC(=O)CCC(=O)c1c([N+](=O)[O-])nn(C)c1[N+](=O)[O-],5.907134,3.658759221628383
N#CCc1c(CO)no[n+]1[O-],6.6348243,3.9731664901433827
Nc1n[nH]nc2c([N+](=O)[O-])c3nc(C4NCNC(=N[N+](=O)[O-])N4)n3cc([N+](=O)[O-])nnc2n1,7.1459146,5.325808224026135
COC(=O)C(=O)n1ncnc1[N+](=O)[O-],6.7893343,3.240688485900038
O=[N+]([O-])c1cn2nccnn3c(Nc4cnon4)c([N+](=O)[O-])c-3c([N+](=O)[O-])c-2c([N+](=O)[O-])nn1,7.6342564,4.587951921116517
O=C(O)C(CC(F)([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.50145,4.277973165656795
O=C(CCCO[N+](=O)[O-])CCC(CCC(=O)n1ncnc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.570523,3.7933449942766524
CN(N1CCN(CO)C2C1N(OCC(C)(C)[N+](=O)[O-])CCN2Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],6.2091117,5.0010452779936685
NCCC(N)(CCc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-])C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.608815,4.412493861692901
CC(N)CN1CN(CC(N)=O)CN2CC([N+](=O)[O-])=NN=C([N+](=O)[O-])N21,6.1902175,4.831468199174072
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C(O)C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.7906604,4.06058520229033
O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(O)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2cnnc2)c1,7.4373198,4.299908463077103
CCC(CNN1CN(N)C2NC(=O)N(C(N)=O)C21)([N+](=O)[O-])[N+](=O)[O-],6.54553,5.02058091492054
N#CCNc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],6.092051,2.9478750413765304
CCOCN1CN2C3C(NC(=O)N3CCOC)c3ccccc3N=NN12,5.3027005,4.47828045753704
CC(CCN1C=CC=NC1C12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NC=N2)([N+](=O)[O-])[N+](=O)[O-],6.335701,5.304007858488963
C(#Cn1nccn1)n1cnnc1,5.99619,4.5185800229463
CC(C)(C)NC(O)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])Oc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],6.686659,4.285434826472349
COCCN1CN(NC(C)(C)C)CCNC(=N[N+](=O)[O-])NCN2N(C1)CN2n1cc([N+](=O)[O-])cn1,5.8364515,4.923429346238424
Nc1n[nH]c(C(C(=O)C23C=C([N+](=O)[O-])C([N+](=O)[O-])=CC2=NN=N3)N2CNC(=N[N+](=O)[O-])NC2)n1,6.6031156,5.448930489301633
CCOCCN(c1nc([N+](=O)[O-])n[nH]1)[N+](=O)[O-],6.669488,3.644844842710121
Cc1c([N+](=O)[O-])ccc2c(nc(CC[N+](=O)[O-])nc1[N+](=O)[O-])N=C2c1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],6.275675,4.161125010656862
CON1CC([N+](=O)[O-])=C([N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])C(C)=C2N(CN(CC(N)=O)C1)CN2n1ccnn1,6.078589,4.866301481245096
CCOCCC(CCC1NCNC(=N[N+](=O)[O-])N1)(NC(C)(C)C)n1nc([N+](=O)[O-])cc1[N+](=O)[O-],5.8595467,5.123861190931177
CCOCC1=NC(N(CC)[N+](=O)[O-])=C([N+](=O)[O-])C2=NC([N+](=O)[O-])=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1C2,6.31499,5.552420260590998
NC(Nc1cnon1)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c[nH]nn1,7.932156,5.029832587638987
COCC(CCN[N+](=O)[O-])C(=O)Oc1c(C=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],6.103833,3.6899001866035332
COCCC(CCCCO)(CCc1c([N+](=O)[O-])c([N+](=O)[O-])c(N)c([N+](=O)[O-])c1[N+](=O)[O-])CN[N+](=O)[O-],6.1405797,4.211595079168085
O=C1NC2C(N(CN[N+](=O)[O-])CN2C23N=NN=C2C=C([N+](=O)[O-])C=C3[N+](=O)[O-])N1c1cnc([N+](=O)[O-])[nH]1,6.7990546,5.763799466548912
CC(CON1CN2CC([N+](=O)[O-])=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C(N2)N(CCO)C1)([N+](=O)[O-])[N+](=O)[O-],6.5944285,6.077927798011597
Nc1nonc1-c1nnn[nH]1,7.7191486,3.429303701681845
NN1CCN2C1=CC=C([N+](=O)[O-])C([N+](=O)[O-])=CC1C2N(C=O)CCN1c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,6.3811293,5.608498558189163
COCCC(CCN)(CCc1nonc1[N+](=O)[O-])CC(C)(C)[N+](=O)[O-],5.681011,4.179725604455358
CN(N1CN=C([N+](=O)[O-])N=CN2c3c(cc([N+](=O)[O-])cc3[N+](=O)[O-])N=NN3N(CCO)CN3CN2C1)[N+](=O)[O-],6.6039762,5.260898974890214
Cn1nc([N+](=O)[O-])c(NCNn2nnnc2[N+](=O)[O-])c1[N+](=O)[O-],8.005939,3.9120720310383508
O=C1c2nn(F)nc2C(=O)c2nn(C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc21,7.55619,4.164023163279467
CC(C)(C)NN1CCN(Nc2cnon2)C2C1N(CC#N)CCN2c1nc(N)n[nH]1,5.561635,5.127425996286683
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O)C(C(=O)n1ccnn1)N1CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,6.8999696,4.644669001634755
O=[N+]([O-])c1ccc(CCCC(CCNc2cnon2)([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,6.4374866,3.5592672785168036
CC(=O)C(CC(C)(C)[N+](=O)[O-])C(=O)C12C=C([N+](=O)[O-])C([N+](=O)[O-])=CC1=NN=N2,6.0152917,4.9667160048329855
