smiles,D,SA
CCC(CCC(=O)N1CNC([N+](=O)[O-])=NC=C2N(CN(CO[N+](=O)[O-])C1)CN2n1cc([N+](=O)[O-])cn1)([N+](=O)[O-])[N+](=O)[O-],6.6839743,5.168822000647983
CC1=C([N+](=O)[O-])CN(NC(C)(C)C)CN2CN3CN(CC(C)N)N3C=NN=CC2=C([N+](=O)[O-])C=C1[N+](=O)[O-],5.838761,5.669239393793414
Nc1nonc1C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NN=N2,7.5940413,5.31159530648118
O=c1c2onc(CO)c1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C([N+](=O)[O-])N=2,6.804107,5.191901602598141
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1CC(Cn1nnc2ccccc21)([N+](=O)[O-])[N+](=O)[O-],6.195888,3.318487471838907
O=C1C2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C([N+](=O)[O-])N3CNC(=N[N+](=O)[O-])NCCN3CN1CN2O,6.6309476,6.180074690629427
CC(C)(N)Cc1nc(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc2c1C([N+](=O)[O-])=CC([N+](=O)[O-])=CC([N+](=O)[O-])=N2,6.670428,4.329637486412603
CC(N)CN1C(=O)NC2C1NC(=O)N2n1nnc2cc([N+](=O)[O-])c([N+](=O)[O-])cc21,6.392531,4.652480605716322
O=C(C(c1c[nH]nn1)c1nonc1[N+](=O)[O-])C12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NN=N2,6.8678803,5.291195566130158
CCC(CN1C(=O)NC2C1N(CC(C)([N+](=O)[O-])[N+](=O)[O-])CN2COC)([N+](=O)[O-])[N+](=O)[O-],6.333607,5.0680852699663745
CC(C)(Cc1nc(CO)nc(CC#N)c1[N+](=O)[O-])[N+](=O)[O-],5.966689,3.5727625015510505
CCC(Cc1c([N+](=O)[O-])cnncn2c(c1[N+](=O)[O-])C([N+](=O)[O-])=C2N)([N+](=O)[O-])[N+](=O)[O-],6.9233236,4.419685407000388
NN1CN2CN3CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4N=NN3C([N+](=O)[O-])=NON=C12,7.301454,5.285469412017393
CCN(n1cc(C2NCNC(=N[N+](=O)[O-])N2)cn1)[N+](=O)[O-],6.526521,5.099106373049141
COCC1=Nc2nc(CC(C)(C)[N+](=O)[O-])nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3nnn21,6.0910783,4.065089192104173
COCn1c(=O)n2n1C=NN=CC1C3c4cc([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])n(CC(N)=O)c(=O)n4C3C12,6.3639674,5.81830471940159
O=[N+]([O-])C1=CC2=NN=NC2(CC(Cn2cc([N+](=O)[O-])cn2)([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])=C1,7.052819,4.7702047059807695
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C(C(=O)C23C=C([N+](=O)[O-])C=C([N+](=O)[O-])C2=NN=N3)[N+](=O)[O-])c1[N+](=O)[O-],6.893062,4.895704248934154
CC(CNC(F)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1cc([N+](=O)[O-])cn1)([N+](=O)[O-])[N+](=O)[O-],8.332119,4.649049053465388
CC(CCC(N)(CCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCn1ncnc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9806285,4.716848072001163
CC(C)(N)Cc1c([N+](=O)[O-])c(CC[N+](=O)[O-])c([N+](=O)[O-])c(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],6.881,4.0557040874260775
CN(c1c(-n2ncc([N+](=O)[O-])n2)no[n+]1[O-])[N+](=O)[O-],8.150214,4.274617269316372
N#CCN1C(=O)N(N)C2C1C1C2N(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)N1CCCO[N+](=O)[O-],6.7632875,5.41115884623625
CCC(CCC(=O)N1CN(C(C)=O)CN(c2c(C=O)cc([N+](=O)[O-])cc2[N+](=O)[O-])C1)([N+](=O)[O-])[N+](=O)[O-],6.228406,3.7585321701920478
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C([N+](=O)[O-])=Nc2nc(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(O)c21,7.8368597,4.351971826688751
