smiles,D,SA
COCC1=Nc2c1cc([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])nc(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-],7.1854177,4.373061211395952
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C(Nc1cnon1)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1ccnc1,6.9390965,4.555843668127317
COCN1CN2CN(C(=O)CCC(C)([N+](=O)[O-])[N+](=O)[O-])Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3N=NN12,6.2471237,4.636832266028973
CC(N)CN1CN2C1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1NC(=O)N(n3nnc4cc([N+](=O)[O-])cc([N+](=O)[O-])c43)C12,6.5296164,5.665710347004641
CC(C)(C)Nc1c([N+](=O)[O-])c(CC(F)([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c(-n2ncc([N+](=O)[O-])n2)c1[N+](=O)[O-],7.228911,3.994579778627795
COCN1CN(CC(C)(C)[N+](=O)[O-])CN(c2c(C=O)cc([N+](=O)[O-])cc2[N+](=O)[O-])C2=CNN=NCN2C1,5.6433353,4.319878589707281
CC(CCC(=O)C(=O)n1ncnc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.911789,3.8130682964580114
CC1=C([N+](=O)[O-])c2c(nc(C(N)=O)nc2-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])N=C([N+](=O)[O-])C([N+](=O)[O-])=C1[N+](=O)[O-],6.7521353,3.90693176685022
O=c1c2c(CO)nc([N+](=O)[O-])n1N=C(O)C([N+](=O)[O-])=CC([N+](=O)[O-])=C2,6.868853,5.393888206228598
NC1=C([N+](=O)[O-])C([N+](=O)[O-])=C2N(CC([N+](=O)[O-])=C1[N+](=O)[O-])CN(O)CN2c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],6.813379,4.075967505348363
CCC(CCC(=O)NC12C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NC=N2)([N+](=O)[O-])[N+](=O)[O-],6.4882994,4.683755804628396
COCC(=O)C(F)F,6.6202354,2.8470890995456895
O=C(C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N1CNC(=N[N+](=O)[O-])NC1)n1nnnc1[N+](=O)[O-],8.268157,4.964397263170625
COCN1CCN2C3C(c4ccccc4N=NN12)N(CCCO[N+](=O)[O-])CCN3O,5.4646235,4.656000957877758
CC(C)(N)Cc1nc(N)nc(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,6.319807,3.506633248010962
COCCc1c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(N(C)[N+](=O)[O-])c1[N+](=O)[O-],6.7752485,3.5083187842535644
O=[N+]([O-])C(F)(COCc1nc(CCO)no1)[N+](=O)[O-],7.2987847,3.249982880176102
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N1CN(n2nccn2)C2C1C1C2N(n2nccn2)CN1CCN[N+](=O)[O-],6.5363054,5.8522406709828365
CC(CON1CN2CNN=C(N)N=C2N(C2NCC([N+](=O)[O-])([N+](=O)[O-])CC2([N+](=O)[O-])[N+](=O)[O-])C1)([N+](=O)[O-])[N+](=O)[O-],7.288587,5.5556922252877206
CC(CCC1=C([N+](=O)[O-])C2=C([N+](=O)[O-])N=NC([N+](=O)[O-])=CN2C(n2ccnn2)=C1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.112318,4.688997809994212
CCC(CCC(=O)C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9012113,4.404321947552999
CCOCC1=NC(CC(C)(C)[N+](=O)[O-])=C([N+](=O)[O-])C2=NCNC(=N[N+](=O)[O-])NCN12,5.9382744,4.489238135302293
CC(NC(=O)CCC(CCC(N)=O)([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.04069,4.359112565675568
CCOCC1=Nc2c1ccc([N+](=O)[O-])c(C)c([N+](=O)[O-])nc(CN[N+](=O)[O-])c2[N+](=O)[O-],6.229724,4.148764327811839
CON1CN2CC([N+](=O)[O-])=C(C)C([N+](=O)[O-])=CC([N+](=O)[O-])=C2N(C23C=C([N+](=O)[O-])C([N+](=O)[O-])=CC2=NN=N3)C1,6.4339542,5.280004978792853
O=[N+]([O-])c1cnn(-c2no[n+]([O-])c2CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,8.613655,3.937823264148671
CC(=O)C1=NC(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N2C(F)=NC2=N1,7.904522,5.74942348639745
NC(=O)CN1CN(n2ncnc2[N+](=O)[O-])C2C1C1C2N(C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN1CN[N+](=O)[O-],7.2471204,5.757333101535709
CCOCN1CCN2C1=NN=NNC1C2N(CCN[N+](=O)[O-])CCN1c1[nH]c([N+](=O)[O-])nc1[N+](=O)[O-],6.2461658,5.19852286809266
CC(CCc1c([N+](=O)[O-])[nH]nnnc2c(c1[N+](=O)[O-])C([N+](=O)[O-])=C2Nc1cnon1)([N+](=O)[O-])[N+](=O)[O-],7.1338487,4.907120608614223
CCON1C(=O)N(C23C=CC=CC2=NN=N3)C2C1C1C2N(N2CNC(=N[N+](=O)[O-])NC2)C(=O)N1CCC(C)([N+](=O)[O-])[N+](=O)[O-],6.14668,6.3588721628114255
NC(CCO)(CCn1cc([N+](=O)[O-])nn1)n1nc([N+](=O)[O-])cc1[N+](=O)[O-],6.6800613,4.2666527801632395
CC12N=CC=NN3C([N+](=O)[O-])=NN=C([N+](=O)[O-])N4N(O)C(=O)N([N+](=O)[O-])C1(C)N4C(=O)N32,7.571482,6.924378514167936
CC(CCC(=O)c1cc(CCO)c([N+](=O)[O-])nc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.419723,3.624913434365494
CN(N1CN=C([N+](=O)[O-])N=CN2N(C1)CN2C12N=NN=C1C=C([N+](=O)[O-])C=C2[N+](=O)[O-])[N+](=O)[O-],6.9130783,6.0224720977853075
O=[N+]([O-])c1nnn(CCC(CCC2NCC([N+](=O)[O-])([N+](=O)[O-])CC2([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,7.8553286,5.056230388259118
CC(N)CC1=C([N+](=O)[O-])c2c1nnn[nH]c([N+](=O)[O-])c(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-],7.3746057,5.112157850320022
CC(=O)OCC(COn1nnnc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.6374745,3.876944842597897
COCN1CN2C3C(N=C([N+](=O)[O-])N=NN12)NC(=O)N3c1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],7.1228127,5.087689473254365
CC(C)(COc1nc(-n2nnnc2[N+](=O)[O-])nc(N)c1[N+](=O)[O-])[N+](=O)[O-],6.994044,3.4931124326074734
